gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	A	B	C	D	E	F	G	H	I
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0EF793D6A	0.438	0.555	0.649	0.454	0.509	0.353	0.616	0.453	0.729
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS028ACED72	0.438	0.555	0.649	0.454	0.509	0.353	0.616	0.453	0.729
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0107C51C6	0.438	0.555	0.649	0.454	0.509	0.353	0.616	0.453	0.729
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0C623F17A	0.438	0.555	0.649	0.454	0.509	0.353	0.616	0.453	0.729
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS027D7A724	0.438	0.555	0.649	0.454	0.509	0.353	0.616	0.453	0.729
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0A8F7D89F	0.438	0.555	0.649	0.454	0.509	0.353	0.616	0.453	0.729
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0569B9B91	0.438	0.555	0.649	0.454	0.509	0.353	0.616	0.453	0.729
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0700FDD27	0.438	0.555	0.649	0.454	0.509	0.353	0.616	0.453	0.729
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A_receptor	CPI-CS00F859B66	0.518	0.488	0.646	0.637	0.796	0.271	0.36	0.46	0.542
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A_receptor	CPI-CS04751C6A3	0.518	0.488	0.646	0.637	0.796	0.271	0.36	0.46	0.542
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A_receptor	CPI-CS0DD3F421C	0.518	0.488	0.646	0.637	0.796	0.271	0.36	0.46	0.542
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A_receptor	CPI-CC0490ADAF8	0.518	0.488	0.646	0.637	0.796	0.271	0.36	0.46	0.542
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A_receptor	CPI-CC02979D66D	0.518	0.488	0.646	0.637	0.796	0.271	0.36	0.46	0.542
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A_receptor	CPI-CC0C6A98CDA	0.518	0.488	0.646	0.637	0.796	0.271	0.36	0.46	0.542
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A_receptor	CPI-CS0E467E60C	0.518	0.488	0.646	0.637	0.796	0.271	0.36	0.46	0.542
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A_receptor	CPI-CC041F23977	0.62	0.414	0.866	0.688	0.498	0.259	0.439	0.467	1.008
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A_receptor	CPI-CC05E2C9AF8	0.62	0.414	0.866	0.688	0.498	0.259	0.439	0.467	1.008
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A_receptor	CPI-CC0E6C03753	0.62	0.414	0.866	0.688	0.498	0.259	0.439	0.467	1.008
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A_receptor	CPI-CS03F19BFCB	0.62	0.414	0.866	0.688	0.498	0.259	0.439	0.467	1.008
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A_receptor	CPI-CS05CAC687A	0.62	0.414	0.866	0.688	0.498	0.259	0.439	0.467	1.008
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A_receptor	CPI-CC0D97B02B1	0.177	0.316	0.266	0.441	0.247	0.071	0.043	0.387	0.093
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A_receptor	CPI-CC0680A24B2	0.177	0.316	0.266	0.441	0.247	0.071	0.043	0.387	0.093
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A_receptor	CPI-CC0492F9C60	0.177	0.316	0.266	0.441	0.247	0.071	0.043	0.387	0.093
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A_receptor	CPI-CS096F1E209	0.177	0.316	0.266	0.441	0.247	0.071	0.043	0.387	0.093
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS0D35E69F6	0.662	0.577	0.862	0.651	0.871	0.549	0.823	0.647	1.203
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS047EE9E03	0.662	0.577	0.862	0.651	0.871	0.549	0.823	0.647	1.203
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS0247DA882	0.662	0.577	0.862	0.651	0.871	0.549	0.823	0.647	1.203
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS075442484	0.662	0.577	0.862	0.651	0.871	0.549	0.823	0.647	1.203
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS012D15A88	0.662	0.577	0.862	0.651	0.871	0.549	0.823	0.647	1.203
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS04C402DFB	0.662	0.577	0.862	0.651	0.871	0.549	0.823	0.647	1.203
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS05789C9A0	0.662	0.577	0.862	0.651	0.871	0.549	0.823	0.647	1.203
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS0DAA66443	0.662	0.577	0.862	0.651	0.871	0.549	0.823	0.647	1.203
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS0DF85303A	0.438	0.555	0.649	0.454	0.509	0.353	0.616	0.453	0.729
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS01A4D7E2F	0.438	0.555	0.649	0.454	0.509	0.353	0.616	0.453	0.729
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS0921BB754	0.438	0.555	0.649	0.454	0.509	0.353	0.616	0.453	0.729
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS08A043594	0.438	0.555	0.649	0.454	0.509	0.353	0.616	0.453	0.729
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS02957B1BF	0.438	0.555	0.649	0.454	0.509	0.353	0.616	0.453	0.729
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS0D9226707	0.438	0.555	0.649	0.454	0.509	0.353	0.616	0.453	0.729
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS0BDA0D08C	0.438	0.555	0.649	0.454	0.509	0.353	0.616	0.453	0.729
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS069E2161D	0.438	0.555	0.649	0.454	0.509	0.353	0.616	0.453	0.729
ACVR2A	P27037	True	AVR2A_HUMAN	NODAL_receptor_IbIIa_CFC1	CPI-CS0A862F965	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.008
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B_receptor	CPI-CS0B174B76B	0.158	0.15	0.305	0.136	0.129	0.132	0.232	0.267	0.449
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B_receptor	CPI-CS0FA9360D5	0.158	0.15	0.305	0.136	0.129	0.132	0.232	0.267	0.449
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B_receptor	CPI-CS0306FC954	0.158	0.15	0.305	0.136	0.129	0.132	0.232	0.267	0.449
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B_receptor	CPI-CC0E18AEFB6	0.158	0.15	0.305	0.136	0.129	0.132	0.232	0.267	0.449
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B_receptor	CPI-CC003E0125E	0.158	0.15	0.305	0.136	0.129	0.132	0.232	0.267	0.449
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B_receptor	CPI-CC0C3B561BC	0.158	0.15	0.305	0.136	0.129	0.132	0.232	0.267	0.449
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B_receptor	CPI-CS004C594E2	0.158	0.15	0.305	0.136	0.129	0.132	0.232	0.267	0.449
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B_receptor	CPI-CC0C18A9B16	0.158	0.15	0.305	0.136	0.129	0.132	0.232	0.267	0.449
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B_receptor	CPI-CC0CC548F18	0.158	0.15	0.305	0.136	0.129	0.132	0.232	0.267	0.449
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B_receptor	CPI-CC031341B06	0.158	0.15	0.305	0.136	0.129	0.132	0.232	0.267	0.449
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B_receptor	CPI-CS08387C315	0.158	0.15	0.305	0.136	0.129	0.132	0.232	0.267	0.449
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B_receptor	CPI-CS0A79056B0	0.158	0.15	0.305	0.136	0.129	0.132	0.232	0.267	0.449
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B_receptor	CPI-CS00379F820	0.158	0.15	0.305	0.136	0.129	0.132	0.232	0.267	0.449
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B_receptor	CPI-CS0BEB8DCEE	0.158	0.15	0.305	0.136	0.129	0.132	0.232	0.267	0.449
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B_receptor	CPI-CS0DD047CC3	0.158	0.15	0.305	0.136	0.129	0.132	0.232	0.267	0.449
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1C2B_receptor	CPI-CC099977BFA	0.158	0.15	0.266	0.136	0.129	0.071	0.043	0.267	0.093
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1C2B_receptor	CPI-CC0BCF8F0E9	0.158	0.15	0.266	0.136	0.129	0.071	0.043	0.267	0.093
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1C2B_receptor	CPI-CC065C6CA6D	0.158	0.15	0.266	0.136	0.129	0.071	0.043	0.267	0.093
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1C2B_receptor	CPI-CS09DFE4623	0.158	0.15	0.266	0.136	0.129	0.071	0.043	0.267	0.093
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS0C99F8D96	0.158	0.15	0.305	0.136	0.129	0.132	0.232	0.267	0.449
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS0CA393CC5	0.158	0.15	0.305	0.136	0.129	0.132	0.232	0.267	0.449
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS076E1A639	0.158	0.15	0.305	0.136	0.129	0.132	0.232	0.267	0.449
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS0BE59B43E	0.158	0.15	0.305	0.136	0.129	0.132	0.232	0.267	0.449
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS0BCDC40FC	0.158	0.15	0.305	0.136	0.129	0.132	0.232	0.267	0.449
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS0E5078EDE	0.158	0.15	0.305	0.136	0.129	0.132	0.232	0.267	0.449
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS036BF2AC7	0.158	0.15	0.305	0.136	0.129	0.132	0.232	0.267	0.449
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS08A853007	0.158	0.15	0.305	0.136	0.129	0.132	0.232	0.267	0.449
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS0BEC40E19	0.158	0.15	0.305	0.136	0.129	0.132	0.232	0.267	0.449
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS0C0D60519	0.158	0.15	0.305	0.136	0.129	0.132	0.232	0.267	0.449
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS058910188	0.158	0.15	0.305	0.136	0.129	0.132	0.232	0.267	0.449
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS0E997FABD	0.158	0.15	0.305	0.136	0.129	0.132	0.232	0.267	0.449
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS027F8BD7E	0.158	0.15	0.305	0.136	0.129	0.132	0.232	0.267	0.449
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS055E15573	0.158	0.15	0.305	0.136	0.129	0.132	0.232	0.267	0.449
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS089A36491	0.158	0.15	0.305	0.136	0.129	0.132	0.232	0.267	0.449
ACVR2B	Q13705	True	AVR2B_HUMAN	NODAL_receptor_IbIIb_CFC1	CPI-CS0BF9CBA6B	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.008
ACVR2B	Q13705	True	AVR2B_HUMAN	NODAL_receptor_IcIIb_CFC1	CPI-CS06D37E6BE	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.008
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A_receptor	CPI-CC041F23977	0.62	0.414	0.866	0.688	0.498	0.259	0.439	0.467	1.008
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A_receptor	CPI-CC05E2C9AF8	0.62	0.414	0.866	0.688	0.498	0.259	0.439	0.467	1.008
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A_receptor	CPI-CC0E6C03753	0.62	0.414	0.866	0.688	0.498	0.259	0.439	0.467	1.008
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A_receptor	CPI-CS03F19BFCB	0.62	0.414	0.866	0.688	0.498	0.259	0.439	0.467	1.008
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A_receptor	CPI-CS05CAC687A	0.62	0.414	0.866	0.688	0.498	0.259	0.439	0.467	1.008
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B_receptor	CPI-CC0C18A9B16	0.158	0.15	0.305	0.136	0.129	0.132	0.232	0.267	0.449
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B_receptor	CPI-CC0CC548F18	0.158	0.15	0.305	0.136	0.129	0.132	0.232	0.267	0.449
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B_receptor	CPI-CC031341B06	0.158	0.15	0.305	0.136	0.129	0.132	0.232	0.267	0.449
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B_receptor	CPI-CS08387C315	0.158	0.15	0.305	0.136	0.129	0.132	0.232	0.267	0.449
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B_receptor	CPI-CS0A79056B0	0.158	0.15	0.305	0.136	0.129	0.132	0.232	0.267	0.449
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B_receptor	CPI-CS00379F820	0.158	0.15	0.305	0.136	0.129	0.132	0.232	0.267	0.449
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B_receptor	CPI-CS0BEB8DCEE	0.158	0.15	0.305	0.136	0.129	0.132	0.232	0.267	0.449
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B_receptor	CPI-CS0DD047CC3	0.158	0.15	0.305	0.136	0.129	0.132	0.232	0.267	0.449
ACVR1B	P36896	True	ACV1B_HUMAN	NODAL_receptor_IbIIa_CFC1	CPI-CS0A862F965	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.008
ACVR1B	P36896	True	ACV1B_HUMAN	NODAL_receptor_IbIIb_CFC1	CPI-CS0BF9CBA6B	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.008
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2A_receptor	CPI-CC0D97B02B1	0.177	0.316	0.266	0.441	0.247	0.071	0.043	0.387	0.093
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2A_receptor	CPI-CC0680A24B2	0.177	0.316	0.266	0.441	0.247	0.071	0.043	0.387	0.093
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2A_receptor	CPI-CC0492F9C60	0.177	0.316	0.266	0.441	0.247	0.071	0.043	0.387	0.093
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2A_receptor	CPI-CS096F1E209	0.177	0.316	0.266	0.441	0.247	0.071	0.043	0.387	0.093
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2B_receptor	CPI-CC099977BFA	0.158	0.15	0.266	0.136	0.129	0.071	0.043	0.267	0.093
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2B_receptor	CPI-CC0BCF8F0E9	0.158	0.15	0.266	0.136	0.129	0.071	0.043	0.267	0.093
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2B_receptor	CPI-CC065C6CA6D	0.158	0.15	0.266	0.136	0.129	0.071	0.043	0.267	0.093
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2B_receptor	CPI-CS09DFE4623	0.158	0.15	0.266	0.136	0.129	0.071	0.043	0.267	0.093
ACVR1C	Q8NER5	True	ACV1C_HUMAN	NODAL_receptor_IcIIb_CFC1	CPI-CS06D37E6BE	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.008
ADIPOR1	Q96A54	True	ADR1_HUMAN	ADR_complex	CPI-CS0D9F0FAFD	1.075	1.549	1.285	0.966	1.043	1.218	1.36	1.12	1.288
ADIPOR2	Q86V24	True	ADR2_HUMAN	ADR_complex	CPI-CS0D9F0FAFD	1.075	1.549	1.285	0.966	1.043	1.218	1.36	1.12	1.288
CHRNA2	Q15822	True	ACHA2_HUMAN	AcetylcholineReceptor_a2b3	CPI-CC04E827BCE	0.006	0.003	0.0	0.0	0.0	0.004	0.018	0.0	0.008
CHRNB3	Q05901	True	ACHB3_HUMAN	AcetylcholineReceptor_a2b3	CPI-CC04E827BCE	0.006	0.003	0.0	0.0	0.0	0.004	0.018	0.0	0.008
CHRNB3	Q05901	True	ACHB3_HUMAN	AcetylcholineReceptor_a6a4b3	CPI-CC04B372036	0.014	0.003	0.007	0.0	0.0	0.0	0.012	0.0	0.008
CHRNB3	Q05901	True	ACHB3_HUMAN	AcetylcholineReceptor_a6b3b4	CPI-CC0E276BF0A	0.006	0.003	0.003	0.0	0.0	0.0	0.012	0.0	0.008
CHRNA3	P32297	True	ACHA3_HUMAN	AcetylcholineReceptor_a3b2a5	CPI-CC062A4D7BF	0.039	0.031	0.03	0.02	0.036	0.03	0.037	0.0	0.017
CHRNA3	P32297	True	ACHA3_HUMAN	AcetylcholineReceptor_a3b4a5	CPI-CC009944F9E	0.006	0.003	0.003	0.0	0.014	0.011	0.037	0.0	0.008
CHRNB2	P17787	True	ACHB2_HUMAN	AcetylcholineReceptor_a3b2a5	CPI-CC062A4D7BF	0.039	0.031	0.03	0.02	0.036	0.03	0.037	0.0	0.017
CHRNB2	P17787	True	ACHB2_HUMAN	AcetylcholineReceptor_a4b2	CPI-CC0354EAB57	1.075	2.399	0.997	0.292	0.656	0.459	1.073	0.38	0.356
CHRNA5	P30532	True	ACHA5_HUMAN	AcetylcholineReceptor_a3b2a5	CPI-CC062A4D7BF	0.039	0.031	0.03	0.02	0.036	0.03	0.037	0.0	0.017
CHRNA5	P30532	True	ACHA5_HUMAN	AcetylcholineReceptor_a3b4a5	CPI-CC009944F9E	0.006	0.003	0.003	0.0	0.014	0.011	0.037	0.0	0.008
CHRNB4	P30926	True	ACHB4_HUMAN	AcetylcholineReceptor_a3b4a5	CPI-CC009944F9E	0.006	0.003	0.003	0.0	0.014	0.011	0.037	0.0	0.008
CHRNB4	P30926	True	ACHB4_HUMAN	AcetylcholineReceptor_a6b3b4	CPI-CC0E276BF0A	0.006	0.003	0.003	0.0	0.0	0.0	0.012	0.0	0.008
CHRNA4	P43681	True	ACHA4_HUMAN	AcetylcholineReceptor_a4b2	CPI-CC0354EAB57	1.075	2.399	0.997	0.292	0.656	0.459	1.073	0.38	0.356
